"Pathway"	"Genes"
"299"	"Pathway.KEGG_Pathways in cancer"	"DCC, CASP3, CASP9, CDH1, CTNNB1, WNT16, WNT4, WNT1, WNT2, WNT3, WNT5A, WNT6, WNT7A, WNT7B, WNT8A, WNT8B, WNT10B, WNT11, WNT2B, WNT9A, WNT9B, WNT10A, WNT5B, WNT3A, CTNNA1, CTNNA2, CTNNA3, ITGB1, DVL1, DVL2, DVL3, LAMC3, COL4A1, COL4A2, COL4A3, COL4A4, COL4A5, COL4A6, LAMB4, FN1, LAMA1, LAMA2, LAMA3, LAMA4, LAMA5, LAMB1, LAMB2, LAMB3, LAMC1, LAMC2, ITGA6, ITGA2, ITGA2B, ITGA3, ITGAV, PTK2, PTEN, FZD10, FZD2, FZD5, FZD3, FZD1, FZD4, FZD6, FZD7, FZD8, FZD9, APPL1, ABL1, BCR, CRK, CRKL, CBL, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, STAT5A, STAT5B, JAK1, JAK2, JAK3, EGFR, ERBB2, PDGFRA, PDGFRB, IGF1R, KIT, FLT3, MET, FGFR1, FGFR3, FGFR2, FGFR4, TFG, NTRK1, TPM3, TPR, TGFA, EGF, HGF, PDGFA, PDGFB, IGF1, IGF2, AR, HSP90AA1, HSP90AB1, HSP90B1, GSK3B, AXIN1, AXIN2, APC2, APC, CHUK, IKBKB, IKBKG, MTOR, BAD, MDM2, CDKN1B, BCL2L1, STAT3, STAT1, GRB2, SOS1, SOS2, HRAS, KRAS, NRAS, ARAF, RAF1, BRAF, MAP2K1, MAP2K2, RASSF5, RASSF1, NFKBIA, NFKB1, NFKB2, RELA, STK4, CCND1, RET, CCDC6, NCOA4, PLCG1, PLCG2, RALGDS, RALA, RALB, RHOA, RAC1, RAC2, RAC3, RALBP1, PLD1, PLD2, MAPK8, MAPK9, MAPK10, CDC42, JUN, FOS, MYC, TP53, LEF1, TCF7, TCF7L2, TCF7L1, PRKCA, PRKCB, PRKCG, SHH, PTCH1, SMO, SUFU, FH, EGLN2, EGLN3, EGLN1, ELOB, ELOC, VHL, CUL2, RBX1, EPAS1, HIF1A, ARNT, ARNT2, CREBBP, EP300, CYCS, BRCA2, RAD51, MLH1, MSH2, TGFB1, TGFB2, TGFB3, TGFBR1, TGFBR2, SMAD2, SMAD3, SMAD4, BAX, MSH3, MSH6, MECOM, RUNX1, CTBP1, CTBP2, HDAC1, HDAC2, GSTP1, PPARG, PAX8, RXRA, RXRB, RXRG, RARB, JUP, RARA, ZBTB16, PML, RUNX1T1, SPI1, CEBPA, MITF, MAX, ZBTB17, CCND2, CCND3, CDKN1A, CDK4, CDK6, RB1, E2F1, E2F2, E2F3, CDK2, CCNE1, CCNE2, SKP2, CKS1B, CKS2, CCNA2, CCNA1, CDKN2B, CDKN2A, FAS, FADD, CASP8, BID, BMP2, BMP4, GLI1, HHIP, PTCH2, KLK3, BIRC5, PTGS2, NOS2, BCL2, BIRC2, BIRC3, XIAP, BIRC7, TRAF1, TRAF2, TRAF3, TRAF5, TRAF6, TRAF4, VEGFD, PGF, VEGFA, VEGFB, VEGFC, SLC2A1, DAPK1, DAPK3, DAPK2, ETS1, MMP1, MMP2, MMP9, CXCL8, CSF2RA, CSF3R, CSF1R, IL6, PPARD, FOXO1, NKX3-1, MAPK1, MAPK3, AKT3, AKT1, AKT2, GLI2, GLI3, FASLG, KITLG, FLT3LG, FGF1, FGF2, FGF3, FGF4, FGF5, FGF6, FGF7, FGF8, FGF9, FGF10, FGF20, FGF21, FGF22, FGF23, FGF18, FGF17, FGF16, FGF19, LPAR6, AGTR1, LPAR1, F2R, LPAR3, LPAR4, LPAR5, F2RL3, LPAR2, PTGER1, PTGER2, PTGER3, PTGER4, EDNRA, EDNRB, BDKRB1, BDKRB2, GNAS, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY4, PRKACA, PRKACB, PRKACG, GNB5, GNB1, GNB2, GNB3, GNG3, GNG4, GNG5, GNG7, GNG10, GNG11, GNGT1, GNGT2, GNG13, GNG2, GNG12, GNB4, GNG8, GNA13, GNA12, ARHGEF12, PLEKHG5, ARHGEF1, ARHGEF11, ROCK1, ROCK2, GNA11, GNAQ, PLCB1, PLCB2, PLCB3, PLCB4, RASGRP1, RASGRP2, RASGRP4, RASGRP3, GNAI1, GNAI2, GNAI3, CXCR4, CXCL12, KIF7, JAG1, JAG2, NOTCH1, NOTCH2, NOTCH3, NOTCH4, DLL3, DLL1, DLL4, HES1, HES5, HEY1, HEY2, HEYL, FLT4, NFE2L2, KEAP1, HMOX1, NQO1, GSTO2, GSTA5, GSTA1, GSTA2, GSTA3, GSTA4, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTT1, GSTT2, MGST1, MGST2, MGST3, GSTT2B, GSTO1, TXNRD2, TXNRD3, TXNRD1, GADD45G, GADD45A, GADD45B, BAK1, DDB2, POLK, TERT, TERC, ESR1, ESR2, NCOA3, NCOA1, SP1, LRP6, LRP5, FRAT1, FRAT2, ALK, EML4, RPS6KB1, RPS6KB2, RPS6KA5, CALML6, CALML5, CALM1, CALM2, CALM3, CALML3, CALML4, CAMK2A, CAMK2B, CAMK2D, CAMK2G, ELK1, SKP1, CUL1, PMAIP1, BBC3, BCL2L11, CASP7, APAF1, PIM2, PIM1, EPO, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, IFNG, IL2, IL3, IL4, IL5, IL7, IL12A, IL12B, IL13, IL15, IL23A, CSF2RB, IL23R, EPOR, IFNAR1, IFNAR2, IFNGR1, IFNGR2, IL2RA, IL2RB, IL2RG, IL3RA, IL4R, IL5RA, IL6R, IL6ST, IL7R, IL12RB1, IL12RB2, IL13RA1, IL15RA, STAT2, STAT4, STAT6, F2, KNG1, EDN1, AGT"
"300"	"Pathway.KEGG_Transcriptional misregulation in cancer"	"EWSR1, FLI1, ERG, ETV1, ETV4, FEV, ATF1, WT1, NR4A3, FUS, DDIT3, PAX3, FOXO1, PAX7, SS18, SSX1, SSX2, SSX2B, ASPSCR1, TFE3, MYC, ID2, ARNT2, ATM, PDGFA, IL2RB, BAIAP3, TSPAN7, MLF1, PPARG, MET, FLT1, NUPR1, CDKN1A, IGFBP3, TGFBR2, IGF1, CEBPB, IL6, NFKBIZ, CXCL8, PAX8, PRCC, TMPRSS2, ETV5, SLC45A3, ELK4, DDX5, PLAU, MMP3, MMP9, ZEB1, IL1R2, SPINT1, RXRA, RXRB, RXRG, RUNX1, RUNX1T1, PML, RARA, ZBTB16, CCNA2, CCNA1, JUP, CEBPE, BCL2A1, CEBPA, PER2, SPI1, CD14, ITGAM, FCGR1A, REL, BIRC3, TRAF1, BCL2L1, CD86, CD40, TCF3, PBX1, ETV6, ETV7, WNT16, NCOR1, SIN3A, KMT2A, AFF1, LMO2, RUNX2, HOXA9, HOXA10, PBX3, SMAD1, MEF2C, KLF3, JMJD1C, KDM6A, HMGA2, SUPT3H, PROM1, BMP2K, FLT3, IGF1R, CDKN1B, CDK14, MAF, CCND2, ITGB7, LOC102723407, PAX5, MYCN, MAX, SP1, ZBTB17, MDM2, TP53, COMMD3-BMI1, BMI1, PTK2, NTRK1, NGFR, MEN1, CDK9, CCNT1, CCNT2, MLLT1, MLLT3, DOT1L, IL3, CSF2, MPO, DEFA3, ELANE, GZMB, DUSP6, CSF1R, MEIS1, HOXA11, SIX1, SIX4, EYA1, CDKN2C, HPGD, GRIA3, FUT8, TLX1, TLX3, BCL11B, BCL6, NSD2, H3C14, H3-3A, H3-3B, H3C15, H3-5, H3C13, H3-4, H3C1, H3C4, H3C3, H3C6, H3C11, H3C8, H3C12, H3C10, H3C2, H3C7, TAF15, PLAT, HDAC1, HDAC2, NFKB1, RELA, LDB1, LYL1, HHEX, PTCRA, GADD45G, GADD45A, GADD45B, BAX, BAK1, DDB2, POLK, MITF"
"301"	"Pathway.KEGG_Viral carcinogenesis"	"TP53, UBE3A, DLG1, SCRIB, PXN, BAK1, IRF3, RB1, RBL1, RBL2, TBPL2, TBP, TBPL1, PSMC1, CHD4, JUN, IRF9, CASP3, CASP8, IKBKG, BAX, BAD, PMAIP1, TRAF1, TRAF2, TRAF3, TRAF5, SRC, DDB1, MAPK1, MAPK3, CREB3, CREB1, ATF2, ATF6B, CREB3L4, ATF4, CREB3L2, CREB3L3, CREB3L1, CREB5, JAK1, STAT3, STAT5A, STAT5B, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, NFKB1, NFKB2, REL, RELA, EGR2, EGR3, CDK2, CDK4, CDK6, CDKN2A, CDKN2B, POLB, MAD1L1, VAC14, RANBP1, KAT2A, KAT2B, SRF, TRADD, LYN, SYK, JAK3, USP7, RBPJL, RBPJ, CCND1, CCND2, CCND3, CCNA2, CCNA1, MDM2, MRPS18B, CCNE1, CCNE2, UBR4, CCR5, CCR8, CCR3, CCR4, HPN, VDAC3, HRAS, KRAS, NRAS, YWHAQ, YWHAB, YWHAE, YWHAG, YWHAH, YWHAZ, SKP2, SNW1, GTF2H1, GTF2H2, GTF2H3, GTF2H4, GTF2H2C, GTF2H2C_2, GTF2E1, GTF2E2, SND1, CREBBP, EP300, GTF2B, ATP6V0D2, ATP6V0D1, DNAJA3, CDKN1A, CDKN1B, PKM, HDAC6, HDAC5, HDAC1, HDAC2, HDAC7, HDAC8, HDAC11, HDAC10, HDAC3, HDAC9, HDAC4, RASA2, CDC42, RAC1, RHOA, GSN, SCIN, ACTN4, ACTN1, NFKBIA, GTF2A1L, GTF2A1, GTF2A2, CDC20, CHEK1, IRF7, IL6ST, MAPKAPK2, C3, HLA-A, HLA-B, HLA-C, HLA-E, HLA-F, HLA-G, LTBR, HNRNPK, DDX3X, EIF2AK2, PRKACA, PRKACB, PRKACG, GRB2, CDK1, SP100, H2BU1, H2BW1, H2BC1, H2BW2, H2BC5, H2BC3, H2BC18, H2BC8, H2BC13, H2BC15, H2BC14, H2BC7, H2BC6, H2BC9, H2BC10, H2BC4, H2BC17, H2BC21, H2BC12, H2BC11, H4-16, H4C15, H4C9, H4C1, H4C4, H4C6, H4C12, H4C11, H4C3, H4C8, H4C2, H4C5, H4C13, H4C7, H4C14"
"302"	"Pathway.KEGG_Chemical carcinogenesis"	"CYP1A1, CYP1A2, CYP2E1, UGT2B11, UGT2A1, UGT2B28, UGT1A10, UGT1A8, UGT1A7, UGT1A6, UGT1A5, UGT1A9, UGT1A4, UGT1A1, UGT1A3, UGT2A2, UGT2B4, UGT2B7, UGT2B10, UGT2B15, UGT2B17, UGT2A3, ALDH3A1, ALDH1A3, ALDH3B1, ALDH3B2, ADH1A, ADH1B, ADH1C, ADH4, ADH5, ADH6, ADH7, GSTO2, GSTA5, HPGDS, GSTA1, GSTA2, GSTA3, GSTA4, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTP1, GSTT1, GSTT2, GSTK1, MGST1, MGST2, MGST3, GSTT2B, GSTO1, CYP3A4, CYP1B1, CYP2C19, CYP2C8, CYP2C9, CYP2C18, EPHX1, SULT2A1, HSD11B1, AKR1C2, CBR1, CYP2A6, CYP2A13, NAT2, NAT1, SULT1A4, SULT1A2, SULT1A1, SULT1A3, CYP3A7-CYP3A51P, CYP3A7, CYP3A5, CYP3A43, PTGS2, KYAT3, KYAT1, ARNT, CHRNA7"
"303"	"Pathway.KEGG_Proteoglycans in cancer"	"CD44, TIAM1, ERBB2, RHOA, ROCK1, ROCK2, ANK1, ANK2, ANK3, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, AKT3, AKT1, AKT2, PPP1R12A, PPP1R12B, PPP1R12C, PPP1CA, PPP1CB, PPP1CC, ITPR1, ITPR2, ITPR3, CAMK2A, CAMK2B, CAMK2D, CAMK2G, FLNA, FLNB, FLNC, PLCE1, ARHGEF12, SLC9A1, GAB1, RAC1, CDC42, PAK1, ACTB, ACTG1, IQGAP1, MAPK1, MAPK3, ELK1, ESR1, RRAS2, MRAS, HRAS, KRAS, NRAS, RRAS, ARAF, RAF1, BRAF, MAP2K1, MAP2K2, NANOG, DDX5, DROSHA, MIR21, STAT3, CTTN, HCLS1, SRC, GRB2, VAV3, VAV1, VAV2, ARHGEF1, CCND1, SMAD2, MDM2, TP53, MMP9, PLAU, PLAUR, CTNNB1, NUDT16L1, PXN, PTK2, PRKCA, DCN, TLR2, TLR4, PDCD4, TGFB1, ERBB3, ERBB4, MYC, MET, CBL, TIMP3, THBS1, MMP2, VEGFA, HIF1A, TNF, IL12B, TFAP4, CDKN1A, IGF1, IGF1R, PDPK1, MTOR, RPS6KB1, RPS6KB2, EIF4B, RPS6, FASLG, FAS, LUM, TGFB2, SDC1, HPSE, HPSE2, COL1A1, COL1A2, ITGA2, ITGB1, ITGAV, ITGB3, ITGB5, HGF, FZD10, FZD2, FZD5, FZD3, FZD1, FZD4, FZD6, FZD7, FZD8, FZD9, WNT1, SDC2, EZR, RDX, MSN, FGF2, FGFR1, SDC4, ITGA5, FN1, FRS2, PTPN11, SOS1, SOS2, PLCG1, PLCG2, PRKCB, PRKCG, GPC3, IHH, SHH, PTCH1, SMO, IGF2, HSPG2, CTSL, PRKACA, PRKACB, PRKACG, MAPK14, MAPK11, MAPK13, MAPK12, HSPB2, KDR, PTPN6, VTN, TWIST2, TWIST1, MIR10A, MIR10B, HOXD10, GPC1, HBEGF, EGFR, WNT16, WNT4, WNT2, WNT3, WNT5A, WNT6, WNT7A, WNT7B, WNT8A, WNT8B, WNT10B, WNT11, WNT2B, WNT9A, WNT9B, WNT10A, WNT5B, WNT3A, CD63, CASP3, CAV1, CAV2, CAV3"
"304"	"Pathway.KEGG_MicroRNAs in cancer"	"MIR133A1, MIR133A2, MIR133B, CDC25A, CDC25B, CDC25C, BCL2L2, VEGFA, CDK6, MIRLET7A1, MIRLET7A2, MIRLET7A3, MIRLET7B, MIRLET7D, MIRLET7E, MIRLET7F1, MIRLET7F2, MIRLET7G, MIRLET7I, KRAS, MIR126, CRK, CRKL, MIR15A, MIR15B, MIR16-1, MIR16-2, MIR107, MIR17, MIR18A, MIR19A, MIR19B1, MIR19B2, MIR20A, MIR92A1, MIR92A2, MIR29A, MIR29B1, MIR29B2, MIR29C, DNMT3A, DNMT3B, MIR1-1, MIR1-2, MIR125A, MIR125B1, MIR125B2, HMGA2, MIR21, MIR221, MIR222, PTEN, MIR145, MCL1, CDKN1B, MIR200C, ZEB1, MIR100, FSCN1, MIR203B, MIR203A, MIR99A, TP63, MIR143, MIR23A, MIR27A, MIR27B, MIR31, ST14, CYP1B1, MIR192, MIR194-1, MIR194-2, PDCD4, CREBBP, EP300, MIR215, MIR28, MIR30A, MIR30B, MIR30C1, MIR30C2, MIR30D, MIR30E, MIRLET7C, TPM1, MIR155, MIR10B, MIR224, MIR602, MIR494, MIR615, MIR199B, MIR324, MIR363, MIR625, RASSF1, MIR10A, MIR23C, MIR23B, MIR122, MIR150, MIR223, MIR342, STMN1, MIR25, MIR34A, MET, MIR96, DDIT4, HOXD10, PAK4, MMP9, MIR483, CCND1, CCND2, CCNE1, CCNE2, PIM1, HDAC5, HDAC4, FOXP1, EGFR, MIR141, TGFB2, MIR183, EZR, TIMP3, MIR205, MTOR, ERBB2, MIR375, SPRY2, BCL2, SERPINB5, ZEB2, ABL1, ERBB3, CYP24A1, RPTOR, SLC7A1, CCNG1, HMOX1, MIR423, STAT3, MYC, CASP3, HRAS, NRAS, MIR26A1, MIR26A2, MIR26B, MIR152, DNMT1, MIR135A1, MIR135A2, MIR135B, MIR200A, MIR200B, APC2, APC, IRS1, PIK3R1, PIK3R2, PIK3R3, MAPK7, PIK3CA, PIK3CB, PIK3CD, MIR124-1, MIR124-2, MIR124-3, MIR137, MIR128-1, MIR128-2, E2F3, HNRNPK, MIR7-1, MIR7-2, MIR7-3, MIR326, IRS2, NOTCH1, NOTCH2, NOTCH3, NOTCH4, COMMD3-BMI1, BMI1, MIR146A, MMP16, RECK, MIR106B, MIR32, MIR330, MIR373, E2F1, SIRT1, CD44, ROCK1, BCL2L11, BAK1, E2F2, SLC45A3, VIM, PRKCE, MARCKS, BMPR2, MIR449A, MIR101-1, MIR101-2, MIR331, HDAC1, HDAC2, EZH2, GLS2, GLS, WNT3, WNT3A, CDCA5, KIF23, CDKN1A, ZFPM2, ITGB3, UBE2I, MIR181A2, MIR181B1, MIR181B2, MIR181C, MIR181A1, MIR181D, ATM, SOCS1, MIR335, SOX4, TNC, TNN, TNR, TNXB, MIR206, MIR520E, MIR520A, MIR520B, MIR520G, MIR520H, MIR103B1, MIR103B2, MIR103A1, MIR103A2, DICER1, FZD3, ITGA5, RDX, RHOA, MIR193B, PLAU, MIR451A, ABCB1, MIR345, ABCC1, IGF2BP1, TRIM71, MIR34B, MIR34C, MIR214, BRCA1, MIR9-1, MIR9-2, MIR9-3, NFKB1, MIR199A1, MIR199A2, IKBKB, MIR210, EFNA1, EFNA2, EFNA3, EFNA4, EFNA5, THBS1, PTGS2, MIR195, MIR129-1, MIR129-2, MAPK1, MAPK3, PRKCA, PRKCB, PRKCG, GRB2, FGFR3, RPS6KA5, TP53, CDKN2A, MDM4, MDM2, PDGFRA, PLCG1, PLCG2, RAF1, MAP2K1, MAP2K2, SOS1, SOS2, SHC1, PDGFA, SHC4, PDGFB, PDGFRB, BMF, MIR520C"
"305"	"Pathway.KEGG_Colorectal cancer"	"DCC, CASP3, TGFB1, TGFB2, TGFB3, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, CASP9, APPL1, APC2, APC, SMAD2, SMAD3, TGFBR1, SMAD4, MLH1, MSH2, KRAS, ARAF, RAF1, BRAF, MAPK8, MAPK9, MAPK10, AXIN1, AXIN2, RALGDS, RHOA, RAC1, RAC2, RAC3, BIRC5, MYC, CCND1, MAP2K1, MAP2K2, MAPK1, MAPK3, JUN, FOS, CYCS, BCL2, TP53, LEF1, TCF7, TCF7L2, TCF7L1, GSK3B, CTNNB1, AKT3, AKT1, AKT2, BAD, MSH6, BAX, MSH3, TGFBR2, CDKN1A, GADD45G, GADD45A, GADD45B, BAK1, DDB2, POLK, PMAIP1, BCL2L11, BBC3, RALA, RALB, HRAS, NRAS, RPS6KB1, RPS6KB2, SOS1, SOS2, GRB2, MTOR, EGFR, EGF, TGFA, EREG, AREG"
"306"	"Pathway.KEGG_Renal cell carcinoma"	"PTPN11, TGFB1, TGFB2, TGFB3, VEGFA, SLC2A1, ARNT, ARNT2, CREBBP, EP300, CUL2, RBX1, ELOB, ELOC, VHL, EGLN2, EGLN3, EGLN1, EPAS1, HIF1A, TGFA, PDGFB, FLCN, FH, RAC1, CRK, CRKL, RAPGEF1, SOS1, SOS2, GRB2, MET, GAB1, PAK4, BUB1B-PAK6, PAK1, PAK2, PAK3, PAK6, PAK5, RAP1A, RAP1B, CDC42, ETS1, AKT3, AKT1, AKT2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, JUN, HGF, MAPK1, MAPK3, MAP2K1, MAP2K2, ARAF, RAF1, BRAF, HRAS, KRAS, NRAS, BAD, PRCC, TFE3, CDKN1A"
"307"	"Pathway.KEGG_Pancreatic cancer"	"ERBB2, KRAS, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, ARHGEF6, AKT3, AKT1, AKT2, RAC1, RAC2, RAC3, CHUK, IKBKB, IKBKG, NFKB1, RELA, BAD, BCL2L1, ARAF, RAF1, BRAF, CASP9, MAP2K1, MAPK1, MAPK3, RALGDS, RALA, RALB, RALBP1, PLD1, PLD2, MAPK8, MAPK9, MAPK10, TGFA, EGF, JAK1, STAT3, STAT1, VEGFA, CDKN2A, CDC42, CDK4, CDK6, RB1, E2F1, E2F2, E2F3, TGFB1, TGFB2, TGFB3, TGFBR1, TGFBR2, SMAD2, SMAD3, SMAD4, BRCA2, RAD51, EGFR, CCND1, MTOR, RPS6KB1, RPS6KB2, TP53, CDKN1A, GADD45G, GADD45A, GADD45B, BAX, BAK1, DDB2, POLK"
"308"	"Pathway.KEGG_Endometrial cancer"	"CTNNB1, HRAS, KRAS, NRAS, APC2, APC, AXIN1, AXIN2, GSK3B, CTNNA1, CTNNA2, CTNNA3, FOXO3, BAD, CASP9, ILK, ERBB2, CDH1, LEF1, TCF7, TCF7L2, TCF7L1, PTEN, PDPK1, SOS1, SOS2, GRB2, MLH1, ELK1, EGFR, CCND1, MYC, AKT3, AKT1, AKT2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, EGF, MAPK1, MAPK3, MAP2K1, MAP2K2, ARAF, RAF1, BRAF, TP53, CDKN1A, GADD45G, GADD45A, GADD45B, BAX, BAK1, DDB2, POLK"
"309"	"Pathway.KEGG_Glioma"	"EGF, TGFA, PDGFA, PDGFB, IGF1, EGFR, PDGFRA, PDGFRB, IGF1R, CALML6, CALML5, CALM1, CALM2, CALM3, CALML3, CALML4, CAMK1D, CAMK1G, CAMK4, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CAMK1, PRKCA, PRKCB, PRKCG, SHC2, SHC4, SHC3, SHC1, GRB2, SOS1, SOS2, ARAF, RAF1, BRAF, MAP2K1, MAP2K2, MAPK1, MAPK3, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, AKT3, AKT1, AKT2, PTEN, MTOR, MDM2, CDKN2A, TP53, CCND1, CDK4, CDK6, RB1, E2F1, E2F2, E2F3, PLCG1, PLCG2, HRAS, KRAS, NRAS, CDKN1A, GADD45G, GADD45A, GADD45B, BAX, BAK1, DDB2, POLK"
"310"	"Pathway.KEGG_Prostate cancer"	"SRD5A2, AR, NFKB1, RELA, NFKBIA, CDKN1B, PTEN, NKX3-1, KLK3, BCL2, CCND1, LEF1, TCF7, TCF7L2, TCF7L1, CREBBP, EP300, MDM2, CDKN1A, FOXO1, CDK2, CTNNB1, E2F1, E2F2, E2F3, HRAS, KRAS, NRAS, TP53, EGFR, ERBB2, FGFR1, FGFR2, IGF1R, INSRR, PDGFRA, PDGFRB, CHUK, IKBKB, IKBKG, BAD, CASP9, CREB3, CREB1, CREB3L4, ATF4, CREB3L2, CREB3L3, CREB3L1, CREB5, CCNE1, CCNE2, EGF, IGF1, INS, PDGFA, PDGFB, PDGFC, TGFA, PDGFD, RB1, PDPK1, SOS1, SOS2, GRB2, GSK3B, HSP90AA1, HSP90AB1, HSP90B1, MTOR, AKT3, AKT1, AKT2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, GSTP1, MAPK1, MAPK3, MAP2K1, MAP2K2, ARAF, RAF1, BRAF, TMPRSS2, ERG, ETV5, PLAU, MMP3, MMP9, ZEB1, IL1R2, SPINT1, PLAT"
"311"	"Pathway.KEGG_Thyroid cancer"	"HRAS, KRAS, NRAS, PPARG, BRAF, MAPK1, MAPK3, MAP2K1, MAP2K2, PAX8, RXRA, RXRB, RXRG, CTNNB1, MYC, CDH1, CCND1, RET, CCDC6, NCOA4, TFG, NTRK1, TPM3, TPR, LEF1, TCF7, TCF7L2, TCF7L1, TP53, CDKN1A, GADD45G, GADD45A, GADD45B, BAX, BAK1, DDB2, POLK"
"312"	"Pathway.KEGG_Basal cell carcinoma"	"KIF7, GLI1, PTCH1, PTCH2, BMP2, BMP4, WNT16, WNT4, WNT1, WNT2, WNT3, WNT5A, WNT6, WNT7A, WNT7B, WNT8A, WNT8B, WNT10B, WNT11, WNT2B, WNT9A, WNT9B, WNT10A, WNT5B, WNT3A, SHH, APC2, APC, SUFU, AXIN1, AXIN2, DVL1, DVL2, DVL3, FZD10, FZD2, FZD5, FZD3, FZD1, FZD4, FZD6, FZD7, FZD8, FZD9, GLI2, GLI3, SMO, HHIP, CTNNB1, GSK3B, LEF1, TCF7, TCF7L2, TCF7L1, TP53, CDKN1A, GADD45G, GADD45A, GADD45B, BAX, BAK1, DDB2, POLK"
"313"	"Pathway.KEGG_Melanoma"	"BRAF, CDH1, NRAS, CDK4, CCND1, MITF, PTEN, EGFR, FGFR1, IGF1R, MET, PDGFRA, PDGFRB, EGF, FGF1, FGF2, FGF3, FGF4, FGF5, FGF6, FGF7, FGF8, FGF9, FGF10, FGF20, FGF21, FGF22, HGF, IGF1, PDGFA, PDGFB, PDGFC, PDGFD, FGF23, FGF18, FGF17, FGF16, FGF19, BAD, CDKN2A, CDKN1A, MDM2, TP53, E2F1, E2F2, E2F3, RB1, CDK6, AKT3, AKT1, AKT2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, MAPK1, MAPK3, MAP2K1, MAP2K2, ARAF, RAF1, HRAS, KRAS, GADD45G, GADD45A, GADD45B, BAX, BAK1, DDB2, POLK"
"314"	"Pathway.KEGG_Bladder cancer"	"HRAS, MMP1, MMP2, MMP9, TYMP, VEGFA, CXCL8, THBS1, EGFR, CDH1, ERBB2, CDKN2A, CDKN1A, MYC, RASSF1, DAPK1, DAPK3, DAPK2, MDM2, TP53, E2F1, E2F2, E2F3, RB1, FGFR3, CDK4, CCND1, RPS6KA5, EGF, MAPK1, MAPK3, MAP2K1, MAP2K2, ARAF, RAF1, BRAF, KRAS, NRAS, UPK3A, HBEGF, SRC"
"315"	"Pathway.KEGG_Chronic myeloid leukemia"	"MECOM, RUNX1, BCL2L1, PTPN11, ABL1, BCR, TP53, TGFB1, TGFB2, TGFB3, HDAC1, HDAC2, CTBP1, CTBP2, MYC, TGFBR2, TGFBR1, STAT5A, STAT5B, SMAD4, NFKB1, RELA, NFKBIA, CDKN1B, MDM2, CHUK, IKBKB, IKBKG, BAD, CDKN2A, CDKN1A, SOS1, SOS2, GRB2, SHC2, SHC4, SHC3, SHC1, GAB2, CRK, CRKL, CBL, E2F1, E2F2, E2F3, RB1, SMAD3, CDK4, CDK6, CCND1, AKT3, AKT1, AKT2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, MAPK1, MAPK3, MAP2K1, MAP2K2, ARAF, RAF1, BRAF, HRAS, KRAS, NRAS, GADD45G, GADD45A, GADD45B, BAX, BAK1, DDB2, POLK"
"316"	"Pathway.KEGG_Acute myeloid leukemia"	"RARA, ZBTB16, KRAS, NRAS, FLT3, SPI1, CEBPA, RUNX1, RUNX1T1, PPARD, MYC, NFKB1, RELA, STAT3, STAT5A, STAT5B, JUP, CCNA2, CCNA1, CCND1, LEF1, TCF7, TCF7L2, TCF7L1, PML, PIM1, HRAS, CHUK, IKBKB, IKBKG, BAD, PIM2, RPS6KB1, RPS6KB2, SOS1, SOS2, GRB2, KIT, MTOR, EIF4EBP1, AKT3, AKT1, AKT2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, MAPK1, MAPK3, MAP2K1, MAP2K2, ARAF, RAF1, BRAF, CEBPE, BCL2A1, PER2, CD14, ITGAM, FCGR1A, DUSP6, CSF1R, MPO, CSF2, IL3"
